customer_id,tenure_months,monthly_charges,total_charges,age,num_support_calls,contract_type,internet_service,payment_method,tech_support,paperless_billing,has_partner,has_dependents,senior_citizen,churn
CUST-004365,61,66.22,3998.84,60.0,2,One year,No,Electronic check,No internet service,Yes,No,No,1,0
CUST-001129,47,48.7,2277.4,66.0,1,One year,Fiber optic,Bank transfer,Yes,No,Yes,No,1,1
CUST-002602,56,36.14,2010.97,61.0,1,Two year,Fiber optic,Electronic check,No,No,No,No,1,0
CUST-001747,27,105.35,2912.18,67.0,3,Month-to-month,No,Credit card,No,Yes,No,No,0,1
CUST-003286,9,47.66,433.19,22.0,2,Month-to-month,No,Mailed check,No,Yes,Yes,Yes,0,0
CUST-000787,50,66.16,3272.61,32.0,1,One year,DSL,Electronic check,No internet service,No,No,No,0,0
CUST-002834,28,106.3,3040.4,76.0,1,Month-to-month,DSL,Electronic check,Yes,No,Yes,No,1,1
CUST-000084,45,91.43,3975.44,47.0,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,Yes,0,1
CUST-002995,46,79.78,3777.18,69.0,1,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,No,0,1
CUST-001557,56,108.99,5976.24,54.0,2,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,No,0,1
CUST-001315,21,49.32,1039.22,55.0,1,Two year,No,Electronic check,No,Yes,No,No,0,0
CUST-000625,16,79.53,1246.66,30.0,0,Month-to-month,Fiber optic,Credit card,No internet service,No,No,Yes,0,1
CUST-005755,29,55.68,1640.91,45.0,0,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,Yes,0,1
CUST-003148,72,15.0,1095.38,18.0,0,Month-to-month,Fiber optic,Bank transfer,No internet service,Yes,Yes,Yes,0,0
CUST-005476,18,62.81,1157.54,44.0,1,Month-to-month,Fiber optic,Bank transfer,No internet service,No,No,Yes,1,1
CUST-002586,26,40.31,1023.74,32.0,3,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,No,0,1
CUST-000323,66,48.81,3434.85,46.0,2,Two year,No,Electronic check,Yes,Yes,Yes,No,0,0
