model,split,accuracy,precision,recall,f1,roc_auc,train_time_s,inference_ms_per_sample
Logistic Regression,train,0.7083333333333334,0.585499316005472,0.36425531914893616,0.4491080797481637,0.7352521166922571,0.031277266003598925,0.0037979344445678485
Logistic Regression,validation,0.7191666666666666,0.6078431372549019,0.39540816326530615,0.47913446676970634,0.7556419226106283,0.031277266003598925,0.0072337316669290885
Logistic Regression,test,0.7066666666666667,0.5775193798449613,0.38010204081632654,0.4584615384615385,0.7417186552838957,0.031277266003598925,0.006572894165704686
KNN (k=5),train,0.7736111111111111,0.689873417721519,0.556595744680851,0.6161092793217146,0.8246994516341303,0.020411353001691168,0.024409760555701928
KNN (k=5),validation,0.6441666666666667,0.43986254295532645,0.32653061224489793,0.37481698389458273,0.6064924732269145,0.020411353001691168,0.01617805000023509
KNN (k=5),test,0.6541666666666667,0.4668587896253602,0.413265306122449,0.43843031123139375,0.6181046676096181,0.020411353001691168,0.014143407500644875
Decision Tree,train,0.7311111111111112,0.6920222634508348,0.3174468085106383,0.4352392065344224,0.778437727571836,0.042203757002425846,0.003124473889531348
Decision Tree,validation,0.6925,0.5595854922279793,0.2755102040816326,0.36923076923076925,0.713988937159022,0.042203757002425846,0.005980143332635635
Decision Tree,test,0.685,0.5346534653465347,0.2755102040816326,0.36363636363636365,0.7236578728025863,0.042203757002425846,0.005248359999920164
Random Forest,train,0.8886111111111111,0.9427917620137299,0.7012765957446808,0.8042947779404588,0.9709518754112744,0.8927206610023859,0.03774213583306442
Random Forest,validation,0.6933333333333334,0.5540540540540541,0.3137755102040816,0.4006514657980456,0.7321428571428571,0.8927206610023859,0.050931187500585416
Random Forest,test,0.6858333333333333,0.5336322869955157,0.30357142857142855,0.38699186991869916,0.7245434683774501,0.8927206610023859,0.05128255416821048
Gradient Boosting,train,0.7575,0.7035040431266847,0.4442553191489362,0.5446009389671361,0.8119631498135556,0.6688631190008891,0.0038639391671798267
Gradient Boosting,validation,0.7058333333333333,0.5815899581589958,0.35459183673469385,0.4405705229793978,0.7385267225702162,0.6688631190008891,0.006608813331088944
Gradient Boosting,test,0.6916666666666667,0.5443548387096774,0.34438775510204084,0.421875,0.7262862446958982,0.6688631190008891,0.006334694999168278
XGBoost,train,0.9925,0.9939759036144579,0.9829787234042553,0.9884467265725289,0.9996511515683264,0.25073754899858613,0.0064034319439087994
XGBoost,validation,0.6675,0.4889589905362776,0.39540816326530615,0.43723554301833567,0.6656016366942817,0.25073754899858613,0.009089900834927297
XGBoost,test,0.6716666666666666,0.49693251533742333,0.413265306122449,0.45125348189415043,0.6915506920590018,0.25073754899858613,0.008877037501709614
SVM,train,0.7466666666666667,0.715927750410509,0.37106382978723407,0.48878923766816146,0.8169988155297214,3.504655688000639,0.28883118222236387
SVM,validation,0.7008333333333333,0.5882352941176471,0.28061224489795916,0.3799654576856649,0.7177870529399879,3.504655688000639,0.3315510116650936
SVM,test,0.6966666666666667,0.559322033898305,0.336734693877551,0.42038216560509556,0.7150181854920186,3.504655688000639,0.34377089916840003
